Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
442037 (2010 PR66),2.92918241,0.686550572,17.5693986,319.4386721,292.797258,0.9182,4.94,5.01,19.3,0.001385,81,APO*,442037 (2010 PR66)
442523 (2011 WU95),1.66666147,0.424672176,6.7158298,242.3599884,67.7127062,0.9589,2.37,2.15,19.4,0.047509,79,APO*,442523 (2011 WU95)
443103 (2013 WT67),1.0348164,0.192166599,21.4729138,98.9479938,322.7878412,0.836,1.23,1.05,18,0.013799,88,APO*,443103 (2013 WT67)
443806 (1998 FL3),1.25986242,0.247689404,26.3868919,121.3248663,180.1282433,0.9478,1.57,1.41,22,0.041133,18,APO*,443806 (1998 FL3)
443880 (2001 UZ16),1.75967555,0.426209982,12.6779776,28.527713,323.1805164,1.0097,2.51,2.33,19.4,0.030973,57,APO*,443880 (2001 UZ16)
444004 (2004 AS1),1.07059461,0.174420331,17.2148696,262.0660243,322.5575761,0.8839,1.26,1.11,20.5,0.022733,50,APO*,444004 (2004 AS1)
444193 (2005 SE71),1.06935444,0.194528025,24.8306526,78.2343566,39.1352076,0.8613,1.28,1.11,18.2,0.001749,57,APO*,444193 (2005 SE71)
444584 (2006 UK),1.49244849,0.538676866,4.7305413,252.2446391,244.1050828,0.6885,2.3,1.82,20.2,0.014027,48,APO*,444584 (2006 UK)
445305 (2010 DM56),1.30567441,0.292479944,25.6063523,48.1415678,349.6572089,0.9238,1.69,1.49,19.9,0.005929,30,APO*,445305 (2010 DM56)
445974 (2013 BJ18),1.47783234,0.363719772,3.7105144,159.560886,90.8485297,0.9403,2.02,1.8,20.3,0.024886,31,APO*,445974 (2013 BJ18)
446791 (1998 SJ70),2.23844189,0.705028865,7.306352,246.8739478,21.5602452,0.6603,3.82,3.35,18.3,0.027377,49,APO*,446791 (1998 SJ70)
446862 (2001 VB76),1.45875215,0.34832583,4.2379369,248.4096224,259.4822712,0.9506,1.97,1.76,20.3,0.042617,21,APO*,446862 (2001 VB76)
447755 (2007 JX2),1.70842061,0.52646365,4.2218704,87.758995,44.4643221,0.809,2.61,2.23,19.7,0.032003,51,APO*,447755 (2007 JX2)
448003 (2008 DE),1.71509248,0.413921996,14.7578497,179.13587,55.9570407,1.0052,2.43,2.25,19.5,0.005894,52,APO*,448003 (2008 DE)
448721 (2011 BN24),1.54420828,0.412088278,3.9354121,61.7534464,195.7886997,0.9079,2.18,1.92,20.9,0.015982,30,APO*,448721 (2011 BN24)
450142 (1998 XN2),2.00004676,0.541488561,1.7825496,126.6871608,255.4277792,0.917,3.08,2.83,19.9,0.008546,66,APO*,450142 (1998 XN2)
450263 (2003 WD158),1.42651328,0.409353178,16.714513,102.2799993,92.2794843,0.8426,2.01,1.7,18.8,0.047308,55,APO*,450263 (2003 WD158)
450270 (2004 AE),1.43156708,0.332579929,18.7267197,193.1329914,307.6058641,0.9555,1.91,1.71,20.7,0.02245,26,APO*,450270 (2004 AE)
450293 (2004 LV3),1.23132927,0.275757877,35.3394495,121.3137149,273.4976886,0.8918,1.57,1.37,18.8,0.011293,69,APO*,450293 (2004 LV3)
450300 (2004 QD14),0.94187813,0.337922475,6.2477203,109.2995821,75.2728303,0.6236,1.26,0.91,20.6,0.013709,40,ATE*,450300 (2004 QD14)
450894 (2008 BT18),2.22179919,0.59340798,8.1327027,139.2709379,107.6687435,0.9034,3.54,3.31,18.3,0.010464,66,APO*,450894 (2008 BT18)
451003 (2008 UD1),1.71572365,0.463601965,6.4771031,6.5948964,154.2368308,0.9203,2.51,2.25,19.5,0.049655,40,APO*,451003 (2008 UD1)
451124 (2009 KC3),3.20769569,0.698563286,10.00767,337.246609,340.0983264,0.9669,5.45,5.75,18,0.006175,94,APO*,451124 (2009 KC3)
451157 (2009 SQ104),1.28475105,0.279632678,4.0182979,95.6260364,56.5511105,0.9255,1.64,1.46,21,0.038208,55,APO*,451157 (2009 SQ104)
451297 (2010 TK54),1.84034521,0.495101318,30.8063078,222.9277024,28.1850528,0.9292,2.75,2.5,19.2,0.013753,23,APO*,451297 (2010 TK54)
451370 (2011 AK5),1.18774416,0.230705372,5.5225164,325.6620456,316.8180999,0.9137,1.46,1.29,21.5,0.037267,42,APO*,451370 (2011 AK5)
452302 (1995 YR1),1.69785575,0.82723424,3.5694505,109.3925169,107.0865931,0.2933,3.1,2.21,20.4,0.014723,37,APO*,452302 (1995 YR1)
452376 (2002 AC5),1.75890724,0.493764476,16.5479707,331.6143975,82.4159275,0.8904,2.63,2.33,20,0.047869,35,APO*,452376 (2002 AC5)
452807 (2006 KV89),1.14986411,0.272710324,3.5542945,87.7729657,71.7209428,0.8363,1.46,1.23,21.4,0.013958,34,APO*,452807 (2006 KV89)
453563 (2010 BB),0.8202623,0.277281674,10.0275767,28.943901,279.8008194,0.5928,1.05,0.74,20.2,0.011509,56,ATE*,453563 (2010 BB)
453707 (2010 XY72),1.13326045,0.228868672,31.483498,307.0459074,34.4451283,0.8739,1.39,1.21,18.6,0.046505,31,APO*,453707 (2010 XY72)
453729 (2011 BO24),1.38066598,0.277878842,20.3648235,178.5953261,91.4936835,0.997,1.76,1.62,18.9,0.018822,77,APO*,453729 (2011 BO24)
453778 (2011 JK),1.9101863,0.463522965,6.6903802,10.8098531,203.3821023,1.0248,2.8,2.64,18.4,0.024485,32,AMO*,453778 (2011 JK)
454094 (2013 BZ45),1.01391131,0.144127938,11.8716407,98.6322126,131.1940031,0.8678,1.16,1.02,21.9,0.023653,42,APO*,454094 (2013 BZ45)
454100 (2013 BO73),1.33187901,0.418437196,4.5441236,298.1441535,24.8160772,0.7746,1.89,1.54,20.1,0.017585,46,APO*,454100 (2013 BO73)
454101 (2013 BP73),1.32808252,0.628756778,6.8507523,251.8381062,80.0641185,0.493,2.16,1.53,20.4,0.0023,23,APO*,454101 (2013 BP73)
455148 (1994 UG),1.23920213,0.292717498,5.2147842,225.4145018,13.636379,0.8765,1.6,1.38,21.1,0.023886,68,APO*,455148 (1994 UG)
455176 (1999 VF22),1.31318947,0.738662349,3.9080912,271.3869619,3.7565201,0.3432,2.28,1.5,20.6,0.034641,28,APO*,455176 (1999 VF22)
455184 (2000 ED14),0.83499263,0.566610103,13.7775002,310.1073453,3.8989781,0.3619,1.31,0.76,20.8,0.035762,40,ATE*,455184 (2000 ED14)
455299 (2002 EL6),2.30194151,0.576792887,9.5132552,186.511905,84.9430001,0.9742,3.63,3.49,18,0.036467,95,APO*,455299 (2002 EL6)
455687 (2005 EK94),1.97843225,0.479649968,14.1809208,154.9084216,103.0660703,1.0295,2.93,2.78,19.3,0.040277,36,AMO*,455687 (2005 EK94)
456938 (2007 YV56),1.57573433,0.622152349,6.2433653,265.7064973,102.4351817,0.5954,2.56,1.98,21,0.004922,30,APO*,456938 (2007 YV56)
457662 (2009 DZ),1.45270512,0.301796917,14.1123751,335.7899244,151.5022393,1.0143,1.89,1.75,22,0.044192,38,APO*,457662 (2009 DZ)
457768 (2009 KN4),1.94081375,0.524552815,9.1423285,38.2836166,308.2664524,0.9228,2.96,2.7,18.3,0.010116,28,APO*,457768 (2009 KN4)
458116 (2010 DA),1.03050513,0.565580501,20.533769,122.1945178,162.3518655,0.4477,1.61,1.05,20.3,0.005287,30,APO*,458116 (2010 DA)
458122 (2010 EW45),2.06473269,0.669729131,2.1005382,135.1030934,233.2971674,0.6819,3.45,2.97,17.7,0.018775,37,APO*,458122 (2010 EW45)
458418 (2011 AM12),1.85451474,0.537487759,38.5063287,237.6880734,124.8249377,0.8577,2.85,2.53,19.5,0.00852,25,APO*,458418 (2011 AM12)
458723 (2011 KQ12),1.81038114,0.503210501,19.2812149,142.8457717,83.6678608,0.8994,2.72,2.44,19.4,0.042017,26,APO*,458723 (2011 KQ12)
459683 (2013 MY5),1.66203733,0.453232821,2.9957732,278.9807,102.9122351,0.9087,2.42,2.14,19.7,0.032338,56,APO*,459683 (2013 MY5)
461852 (2006 GY2),1.85800538,0.495815898,30.5634184,216.7022384,54.3188245,0.9368,2.78,2.53,18.8,0.00741,63,APO*,461852 (2006 GY2)
462238 (2008 CN1),0.7708108,0.347717377,7.2175297,7.2034445,331.5309973,0.5028,1.04,0.68,20.6,0.034297,57,ATE*,462238 (2008 CN1)
462550 (2009 CB3),1.06476574,0.723668455,21.5193937,229.438349,158.7958421,0.2942,1.84,1.1,19.4,0.011119,40,APO*,462550 (2009 CB3)
462959 (2011 DU),1.17170745,0.317829041,2.9437725,120.1020939,176.9391623,0.7993,1.54,1.27,21,0.017277,80,APO*,462959 (2011 DU)
463387 (2013 CT82),2.08573334,0.625030713,1.7935612,89.931124,271.9110989,0.7821,3.39,3.01,18.2,0.012708,30,APO*,463387 (2013 CT82)
465617 (2009 EK1),1.24203004,0.229853317,9.1115371,21.7214642,358.4851785,0.9565,1.53,1.38,21.4,0.03136,21,APO*,465617 (2009 EK1)
465633 (2009 JR5),1.25251054,0.35140127,3.9485173,309.861948,128.2345653,0.8124,1.69,1.4,20.3,0.02428,31,APO*,465633 (2009 JR5)
465824 (2010 FR),1.13184263,0.365375917,14.2381654,272.5767782,167.3228499,0.7183,1.55,1.2,21.7,0.005036,37,APO*,465824 (2010 FR)
465892 (2010 UT7),1.58336525,0.660742632,25.4308641,277.288206,65.8148141,0.5372,2.63,1.99,19.7,0.02013,26,APO*,465892 (2010 UT7)
466130 (2012 FZ23),2.48941865,0.608292176,75.412403,357.8094808,179.3774821,0.9751,4,3.93,18.2,0.020511,36,APO*,466130 (2012 FZ23)
466508 (2014 GY48),1.60981774,0.41811312,39.627166,212.7700303,37.641829,0.9367,2.28,2.04,18.6,0.022999,51,APO*,466508 (2014 GY48)
467309 (1996 AW1),1.53470079,0.518626241,4.7547634,229.3439728,117.6255039,0.7388,2.33,1.9,20,0.040213,44,APO*,467309 (1996 AW1)
467317 (2000 QW7),1.94592978,0.468616184,4.1679902,190.7685242,158.6996008,1.034,2.86,2.71,19.8,0.029467,58,AMO*,467317 (2000 QW7)
467336 (2002 LT38),0.84505523,0.313786332,6.1955414,162.7217705,259.4169086,0.5799,1.11,0.78,20.5,0.034553,69,ATE*,467336 (2002 LT38)
467351 (2003 KO2),0.72764478,0.510698799,23.4999807,204.0178409,215.491665,0.356,1.1,0.62,20.5,0.001442,57,ATE*,467351 (2003 KO2)
467460 (2006 JF42),0.67172991,0.581795227,5.9530191,17.7766455,40.9018782,0.2809,1.06,0.55,19.1,0.003064,34,ATE*,467460 (2006 JF42)
468005 (2012 XD112),1.32311755,0.365816427,3.7184602,76.7105634,97.8768777,0.8391,1.81,1.52,21.2,0.014715,58,APO*,468005 (2012 XD112)
468468 (2004 KH17),0.71182497,0.498848699,22.1043007,340.6854281,79.2007736,0.3567,1.07,0.6,21.9,0.003417,50,ATE*,468468 (2004 KH17)
468727 (2010 JE87),0.90445389,0.436951247,16.9203581,242.3144301,120.5229341,0.5093,1.3,0.86,20.8,0.035052,27,ATE*,468727 (2010 JE87)
468910 (2014 KQ76),1.00760814,0.423319932,4.7742188,324.7438491,128.0418624,0.5811,1.43,1.01,21.5,0.04108,25,APO*,468910 (2014 KQ76)
469445 (2002 LT24),0.72003985,0.495784463,0.7631773,282.6150122,166.1628515,0.3631,1.08,0.61,22.1,0.011355,41,ATE,469445 (2002 LT24)
469896 (2005 WC1),1.40053688,0.486534601,19.9838614,256.7340781,265.0243572,0.7191,2.08,1.66,20.7,0.01383,40,APO*,469896 (2005 WC1)
470310 (2007 LB15),0.93847233,0.395220931,25.1915877,237.358962,262.8139871,0.5676,1.31,0.91,19.4,0.006314,40,ATE*,470310 (2007 LB15)
471240 (2011 BT15),1.29308393,0.302464586,1.6612884,308.7605424,105.3762434,0.902,1.68,1.47,21.7,0.000677,63,APO*,471240 (2011 BT15)
471241 (2011 BX18),2.87825878,0.729314342,14.5385405,303.8203404,311.0030211,0.7791,4.98,4.88,18.2,0.027017,67,APO*,471241 (2011 BX18)
471323 (2011 KW15),1.16982574,0.493836852,23.6549502,97.4602154,283.4053268,0.5921,1.75,1.27,19.4,0.043735,21,APO*,471323 (2011 KW15)
471926 (2013 KN6),1.46587678,0.850518003,23.5949338,232.3573518,229.5993079,0.2191,2.71,1.77,18.6,0.048203,41,APO*,471926 (2013 KN6)
474158 (1999 FA),1.07803252,0.132642989,12.0285832,296.9741749,166.1246938,0.935,1.22,1.12,20.7,0.006024,53,APO*,474158 (1999 FA)
474163 (1999 SO5),1.08584354,0.065218661,13.3657505,359.6626687,196.0900231,1.015,1.16,1.13,21,0.014279,63,APO*,474163 (1999 SO5)
474231 (2001 HZ7),1.46918745,0.498194007,5.4217189,312.7183146,156.3848232,0.7372,2.2,1.78,19.8,0.046525,42,APO*,474231 (2001 HZ7)
475534 (2006 TS7),0.94687223,0.580246682,5.4713646,299.9030476,225.2633446,0.3975,1.5,0.92,21.2,0.015205,35,ATE*,475534 (2006 TS7)
476601 (2008 SE85),1.62595124,0.525078559,29.5952985,294.8265403,177.5156572,0.7722,2.48,2.07,19.8,0.024256,40,APO*,476601 (2008 SE85)
477162 (2009 ES),1.43523539,0.329702933,30.3370514,311.2758658,343.7419411,0.962,1.91,1.72,20.6,0.040201,38,APO*,477162 (2009 ES)
477465 (2009 XZ1),0.85571623,0.533816556,8.1577216,152.9717314,82.0016606,0.3989,1.31,0.79,21.7,0.042196,31,ATE*,477465 (2009 XZ1)
477519 (2010 DJ56),1.24994712,0.245348143,34.8411017,309.2684125,149.9454028,0.9433,1.56,1.4,19.3,0.02733,43,APO*,477519 (2010 DJ56)
478574 (2012 TS78),1.60816029,0.381481915,32.6773863,196.6877407,8.3020236,0.9947,2.22,2.04,18.6,0.007801,28,APO*,478574 (2012 TS78)
(1979 XB),2.19322731,0.703358961,24.5958755,75.6421308,86.0658418,0.6506,3.74,3.25,18.6,0.023716,11,APO*,(1979 XB)
(1983 LC),2.60284145,0.714477254,1.5618002,184.8798568,159.6999652,0.7432,4.46,4.2,19.3,0.024918,18,APO*,(1983 LC)
(1989 UP),1.86395068,0.472804919,3.8566285,17.5510169,53.2527314,0.9827,2.75,2.54,20.8,0.006176,10,APO*,(1989 UP)
(1989 VB),1.86300844,0.460865891,2.1319165,329.9200371,38.8306713,1.0044,2.72,2.54,19.7,0.017098,12,APO*,(1989 VB)
(1991 GO),1.92597689,0.654180439,9.5557275,89.5925034,24.1489474,0.666,3.19,2.67,20,0.025491,24,APO*,(1991 GO)
(1994 CJ1),1.49044934,0.325363893,2.3068562,65.2362819,172.075309,1.0055,1.98,1.82,21.4,0.03168,55,APO*,(1994 CJ1)
(1994 EK),2.15057251,0.638668514,6.0385306,99.2826034,333.0166141,0.7771,3.52,3.15,20.3,0.031194,23,APO*,(1994 EK)
(1994 NE),2.04758626,0.60660065,27.5956345,246.117169,104.9864375,0.8055,3.29,2.93,19.8,0.01605,20,APO*,(1994 NE)
(1994 RC),2.26533567,0.603380148,4.757684,286.4496942,344.3605601,0.8985,3.63,3.41,19.3,0.038534,15,APO*,(1994 RC)
(1994 XD),2.34581086,0.734184906,4.3113203,249.3934516,96.1864567,0.6236,4.07,3.59,19.1,0.020247,67,APO*,(1994 XD)
(1994 XL1),0.67082557,0.526354283,28.1630057,356.5197365,252.6970618,0.3177,1.02,0.55,20.9,0.037296,21,ATE*,(1994 XL1)
(1995 CR),0.90672081,0.868438093,4.0351876,322.3927348,342.783897,0.1193,1.69,0.86,21.7,0.012957,25,ATE*,(1995 CR)
(1996 JA1),2.56865486,0.700250764,21.6109799,248.4450657,55.8764722,0.77,4.37,4.12,21,0.017266,28,APO*,(1996 JA1)
(1997 GL3),2.27655112,0.780568036,6.6876065,261.0851047,195.7305046,0.4995,4.05,3.43,19.1,0.001505,25,APO*,(1997 GL3)
(1997 GD32),2.10258735,0.598968359,5.2646948,226.5553666,55.3511306,0.8432,3.36,3.05,21.5,0.014491,14,APO*,(1997 GD32)
(1997 QK1),2.78194056,0.646582795,2.8869141,2.974619,306.7632601,0.9832,4.58,4.64,20.3,0.017048,14,APO*,(1997 QK1)
(1997 VG6),1.60598678,0.562906401,18.4800407,250.5248631,51.9937358,0.702,2.51,2.04,19.6,0.047987,11,APO*,(1997 VG6)
(1997 WQ23),1.73758857,0.495100208,2.4484043,296.5669039,55.8446618,0.8773,2.6,2.29,20.7,0.010329,36,APO*,(1997 WQ23)
(1998 BY7),2.02161248,0.607077598,3.2821947,90.4331699,122.0438011,0.7943,3.25,2.87,21.5,0.024008,38,APO*,(1998 BY7)
(1998 FF14),1.2532189,0.312149105,38.6974102,301.1593059,359.8546017,0.862,1.64,1.4,20.7,0.026755,18,APO*,(1998 FF14)
(1998 HT31),2.51760108,0.693667298,6.797575,80.4196221,213.9054189,0.7712,4.26,3.99,20.8,0.031186,12,APO*,(1998 HT31)
(1998 HH49),1.550717,0.502260475,8.4189582,287.8573637,23.5104594,0.7719,2.33,1.93,21.3,0.002928,11,APO*,(1998 HH49)
(1998 QP),1.78529033,0.58314845,9.3546368,78.2224612,326.6293436,0.7442,2.83,2.39,21.2,0.013038,28,APO*,(1998 QP)
(1998 QK28),2.33004612,0.579779306,7.8817876,204.5817792,174.685271,0.9791,3.68,3.56,19.4,0.006271,21,APO*,(1998 QK28)
(1998 QA62),2.06592407,0.746120529,24.8952113,273.1305984,181.6165015,0.5245,3.61,2.97,19,0.023486,24,APO*,(1998 QA62)
(1998 SH2),2.7444972,0.713666173,2.4037093,268.3002744,6.4856168,0.7858,4.7,4.55,20.8,0.018898,42,APO*,(1998 SH2)
(1998 SU4),1.14796959,0.580429176,23.1553599,241.791685,350.6322721,0.4817,1.81,1.23,21.3,0.020818,25,APO*,(1998 SU4)
(1998 SY14),2.82918384,0.671419589,3.4830219,22.4763908,39.7104021,0.9296,4.73,4.76,20.6,0.010636,28,APO*,(1998 SY14)
(1998 SZ27),0.90134338,0.501314968,23.2325433,47.3795689,166.8543939,0.4495,1.35,0.86,20.6,0.008102,11,ATE*,(1998 SZ27)
(1998 SL36),1.39031117,0.417746681,19.0749701,116.7448394,353.1581688,0.8095,1.97,1.64,20.2,0.020703,24,APO*,(1998 SL36)
(1998 US18),2.62739517,0.681053433,9.6661796,115.2378553,207.6084136,0.838,4.42,4.26,20.7,0.031972,11,APO*,(1998 US18)
(1998 VF32),0.85092657,0.443802864,23.7458835,320.9127898,236.2872364,0.4733,1.23,0.78,21.1,0.036966,33,ATE*,(1998 VF32)
(1998 WZ1),2.16413286,0.555140159,4.3063787,137.243091,345.0270038,0.9627,3.37,3.18,19.9,0.02403,29,APO*,(1998 WZ1)
(1998 WB2),1.97596595,0.586785239,2.3841428,78.6176928,52.3337344,0.8165,3.14,2.78,21.8,0.014734,32,APO*,(1998 WB2)
(1998 XD12),1.39985023,0.624289782,13.5344998,69.2792831,259.9813167,0.5259,2.27,1.66,20.7,0.032169,10,APO*,(1998 XD12)
(1998 YM4),1.4764985,0.719612004,3.4337671,344.5399324,341.7715873,0.414,2.54,1.79,19.7,0.046545,24,APO*,(1998 YM4)
(1999 FR19),1.54432451,0.476719683,20.8176655,106.7293042,0.7452819,0.8081,2.28,1.92,22,0.035948,10,APO*,(1999 FR19)
(1999 GL4),2.12009647,0.602069459,7.2578815,293.8229131,178.5229417,0.8437,3.4,3.09,19.7,0.027,20,APO*,(1999 GL4)
(1999 JE1),1.32338923,0.701859599,20.9051642,302.6929089,53.1105196,0.3946,2.25,1.52,19.9,0.024166,33,APO*,(1999 JE1)
(1999 JZ10),1.30608055,0.472999185,25.9168614,79.9927895,54.5529511,0.6883,1.92,1.49,21.8,0.037029,10,APO*,(1999 JZ10)
(1999 LX1),1.16748456,0.728168258,19.8834547,133.3589111,251.9906848,0.3174,2.02,1.26,20.6,0.024293,15,APO*,(1999 LX1)
(1999 RM45),1.68123407,0.644096765,10.8897517,88.6964351,162.8829694,0.5984,2.76,2.18,19.4,0.002405,32,APO*,(1999 RM45)
(1999 SG10),1.4536508,0.613208424,23.5585744,103.313422,13.4972719,0.5623,2.35,1.75,20.5,0.028879,32,APO*,(1999 SG10)
(1999 TO13),1.58108804,0.43503324,20.2676439,302.3578355,14.9341752,0.8933,2.27,1.99,21.4,0.030957,22,APO*,(1999 TO13)
(1999 TT16),2.16632767,0.667082128,1.983683,147.9904778,329.0236988,0.7212,3.61,3.19,19.6,0.022262,23,APO*,(1999 TT16)
(1999 UR),1.89827869,0.504604104,3.6005363,18.0357691,50.7306016,0.9404,2.86,2.62,21.5,0.014507,15,APO*,(1999 UR)
(1999 VR6),2.19172129,0.758216526,8.5217983,294.1793544,212.9072803,0.5299,3.85,3.24,20.8,0.049167,26,APO*,(1999 VR6)
(1999 XS35),17.81867904,0.94610092,19.3705442,332.8913626,49.3041988,0.9604,34.68,75.22,17.2,0.020649,17,APO*,(1999 XS35)
(1999 XK136),2.3799208,0.70183707,2.6837247,303.2410369,62.916712,0.7096,4.05,3.67,20.3,0.011419,27,APO*,(1999 XK136)
(1999 XL136),1.81789102,0.647802014,8.9101342,275.0350591,270.398414,0.6403,3,2.45,19.6,0.004318,31,APO*,(1999 XL136)
(1999 YD),2.46192168,0.593217502,1.3773608,61.7954621,9.469866,1.0015,3.92,3.86,21.1,0.026234,25,APO*,(1999 YD)
(2000 AA6),1.28659099,0.519426248,2.0313897,287.5621944,279.8413696,0.6183,1.95,1.46,22.1,0.007593,23,APO,(2000 AA6)
(2000 AF205),1.03385843,0.276841373,2.4093043,127.3832263,220.0947736,0.7476,1.32,1.05,21.7,0.01811,17,APO*,(2000 AF205)
(2000 BO28),1.69864297,0.599813178,6.3458002,303.2458635,319.8787146,0.6798,2.72,2.21,19.8,0.047021,30,APO*,(2000 BO28)
(2000 CM33),1.32273439,0.272179124,11.5512437,50.1974563,132.8624035,0.9627,1.68,1.52,20.8,0.042936,32,APO*,(2000 CM33)
(2000 CO33),2.32717111,0.568847042,18.2978686,179.2863627,319.572877,1.0034,3.65,3.55,21.1,0.016947,14,APO*,(2000 CO33)
(2000 CE59),1.13762388,0.166675038,12.2640405,307.525598,318.7026327,0.948,1.33,1.21,20.4,0.00723,57,APO*,(2000 CE59)
(2000 CP101),1.77487561,0.619120802,10.4496737,247.729187,160.3855388,0.676,2.87,2.36,19.9,0.043747,44,APO*,(2000 CP101)
(2000 DN1),2.8917944,0.667283318,7.7691009,146.2875441,42.2706229,0.9621,4.82,4.92,19.7,0.012771,25,APO*,(2000 DN1)
(2000 DO1),1.42998883,0.681773744,3.4570218,302.7075901,335.8857094,0.4551,2.4,1.71,20.2,0.013483,37,APO*,(2000 DO1)
(2000 EM26),0.81661009,0.468934656,3.9105135,24.2813385,344.9854745,0.4337,1.2,0.74,22.1,0.018941,11,ATE,(2000 EM26)
(2000 EU70),2.22107263,0.764956759,13.0535098,253.2880779,166.076431,0.522,3.92,3.31,18.8,0.043386,30,APO*,(2000 EU70)
(2000 JF5),2.06090888,0.558060978,13.7528239,216.8820383,58.1307124,0.9108,3.21,2.96,21.25,0.02102,10,APO*,(2000 JF5)
(2000 KA),1.33235717,0.462211866,6.700875,83.131356,62.5675754,0.7165,1.95,1.54,21.7,0.001704,27,APO*,(2000 KA)
(2000 LF3),2.59385955,0.654282832,14.6044649,224.2100282,81.9273363,0.8967,4.29,4.18,21.6,0.0033,31,APO*,(2000 LF3)
(2000 PY5),2.31639501,0.601032038,3.792119,94.6804789,147.4127095,0.9242,3.71,3.53,21.1,0.046725,13,APO*,(2000 PY5)
(2000 PP9),2.32984011,0.551163281,5.5946965,159.5533661,171.7205378,1.0457,3.61,3.56,19.1,0.046429,42,AMO*,(2000 PP9)
(2000 QS7),2.67554751,0.666277254,3.2013594,218.7893532,153.4507099,0.8929,4.46,4.38,19.5,0.005909,32,APO*,(2000 QS7)
(2000 QV7),1.40903141,0.523065865,9.1246745,79.4866413,154.8062304,0.672,2.15,1.67,21.4,0.017124,24,APO*,(2000 QV7)
(2000 SL10),1.37216641,0.338634587,1.4636612,78.5302542,208.7780718,0.9075,1.84,1.61,21.9,0.010914,11,APO*,(2000 SL10)
(2000 TU28),1.07287608,0.182696617,15.6023527,280.8200232,203.0421159,0.8769,1.27,1.11,20.8,3.2E-05,28,APO*,(2000 TU28)
(2000 UG11),1.92885336,0.572516986,8.9215112,240.5846143,224.1783234,0.8246,3.03,2.68,20.4,0.008386,40,APO*,(2000 UG11)
(2000 UQ30),1.74663907,0.455022777,4.264227,37.7411485,60.261433,0.9519,2.54,2.31,22.1,0.01238,24,APO,(2000 UQ30)
(2000 WC1),0.87966066,0.262575767,17.4070939,230.0687087,50.8224751,0.6487,1.11,0.83,22.2,0.002862,14,ATE,(2000 WC1)
(2000 WH10),2.51929503,0.661092232,13.2607535,63.2590993,50.352222,0.8538,4.18,4,21.62,0.048951,11,APO*,(2000 WH10)
(2000 YF29),1.49159478,0.371180047,6.298823,27.9405352,124.8688756,0.9379,2.05,1.82,20.3,0.009501,39,APO*,(2000 YF29)
(2000 YG29),3.18189613,0.691984155,18.8554649,358.4746432,92.4145357,0.9801,5.38,5.68,18.8,0.00291,12,APO*,(2000 YG29)
(2001 CA21),1.66991676,0.776914721,4.966785,218.9284912,46.4354614,0.3725,2.97,2.16,18.77,0.037066,11,APO*,(2001 CA21)
(2001 DF47),1.21516972,0.370803844,18.4734874,260.1976288,146.669518,0.7646,1.67,1.34,20.2,0.017368,20,APO*,(2001 DF47)
(2001 EC),2.5772749,0.772780302,0.5925011,108.4860293,323.1100961,0.5856,4.57,4.14,18.6,0.002617,34,APO*,(2001 EC)
(2001 FA58),2.2554617,0.719388132,8.2147226,114.4392285,155.918105,0.6329,3.88,3.39,21.6,0.042755,9,APO*,(2001 FA58)
(2001 FC58),1.02043976,0.343309347,6.7735039,261.1835541,174.6415503,0.6701,1.37,1.03,20.4,0.014649,30,APO*,(2001 FC58)
(2001 FB90),2.45608646,0.782234857,1.9189575,14.6361332,266.0567965,0.5349,4.38,3.85,19.8,0.031864,24,APO*,(2001 FB90)
(2001 FE90),1.93461888,0.49455746,8.7915834,145.0745403,98.5482504,0.9778,2.89,2.69,20.7,0.014811,53,APO*,(2001 FE90)
(2001 GR2),1.86271395,0.621526027,11.8292503,99.2765262,190.2777118,0.705,3.02,2.54,21.6,0.013334,15,APO*,(2001 GR2)
(2001 GT2),2.40212251,0.63119676,3.6612901,358.5314936,146.2840506,0.8859,3.92,3.72,19.8,0.042304,34,APO*,(2001 GT2)
(2001 HB),1.31394909,0.693880826,9.2889501,237.8475445,195.9408574,0.4022,2.23,1.51,20.4,0.013452,27,APO*,(2001 HB)
(2001 HA4),2.68123039,0.795424136,17.2071827,95.0565792,354.6387855,0.5485,4.81,4.39,17.7,0.018259,41,APO*,(2001 HA4)
(2001 HL31),2.42800166,0.777902609,12.8435142,286.8654949,38.3606783,0.5393,4.32,3.78,20.3,0.049619,16,APO*,(2001 HL31)
(2001 JV1),1.70453203,0.43517873,6.6286219,201.0079508,92.2918757,0.9628,2.45,2.23,21.4,0.021662,32,APO*,(2001 JV1)
(2001 KF54),2.33799961,0.651028255,1.6300669,170.8623829,172.5201629,0.8159,3.86,3.57,20.3,0.020724,20,APO*,(2001 KF54)
(2001 LD),1.4152582,0.373781,30.0531666,114.0186974,79.3559408,0.8863,1.94,1.68,20.1,0.03587,14,APO*,(2001 LD)
(2001 PT9),1.46845067,0.455123058,7.1748739,261.4806984,330.1086531,0.8001,2.14,1.78,20.8,0.028518,32,APO*,(2001 PT9)
(2001 QC34),1.12827603,0.187533364,6.2355711,215.36984,271.6510203,0.9167,1.34,1.2,20.1,0.028474,90,APO*,(2001 QC34)
(2001 QJ96),1.59172664,0.797168485,5.858371,121.6327576,338.7706012,0.3229,2.86,2.01,22.1,0.001,9,APO,(2001 QJ96)
